Issue ID,Subject,Project,Subtasks,Subtasks ID,Stage
8302,"Тестирование раздела ""Контроль работ по обслуживанию и ремонту оборудования""",SAP22006_KONS_04 - Переход на платформу 10.5,,,
8300,"2000091439, изменение  ZHR_SPRAVKA_PRIEM_PE ",SAP22001_MOEK_42 МОЭК ТП HR,,,
8299,STRY0014639 | STSK0022270 Доработки в АРМ Закупки,РусАгро - ЗНИ,,,
8298,RTSK0256492 - Причина ошибки при создании ПП заказа,РусАгро - Тех.поддержка,,,
8297,STRY0014607 | STSK0022203 АПОР (zpm_asutp),РусАгро - ЗНИ,,,
8296,"2000091498, налоговая база для НДФЛ",SAP22001_MOEK_42 МОЭК ТП HR,,,
8295,"Задача: 2000091491, Некоректно формирует НДФЛ в ЗНО",SAP22001_MOEK_42 МОЭК ТП HR,,,
8294,"Задача: 2000091126, Регулярный расчет за декабрь 2021",SAP22001_MOEK_42 МОЭК ТП HR,,,
8293,"Разработка типа измения ЛБО - ""Отзыв финансирования""",СудДеп,,,
8292,2000091445 ZHR_ITAX_CREATE - Создание записей ИТ 9002 ,SAP22001_MOEK_42 МОЭК ТП HR,,,
8290,СМ 7000351894 (2000091223) Некорректная сумма в Окне расчетов по ККС 8025403 в 0421 ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8289,"Задача: 2000091450, ЗНИ Сведения о застрахованном лице",SAP22001_MOEK_42 МОЭК ТП HR,,,
8288,Настройка загрузки проводок BI,SAP22006_KONS_04 - Переход на платформу 10.5,,,
8287,"SHLOG-18 Проведение доработок, совещания, обучений согласно обновлённым ТЗ по проекту штрихкодирование.",РусАгро - Штрих-кодирование,,,
8286,Личная карточка сотрудника (тестирование), SAP22004_KONS_03 Заработная плата и кадры,,,
8285,2000091440 ZHR_ITAX_CREATE не формируется расчет больничного,SAP22001_MOEK_42 МОЭК ТП HR,,,
8284,Задача: 2000091449,SAP22001_MOEK_42 МОЭК ТП HR,,,
8283,2000091453 прошу доработать отчет ZHR_EL_SICK ,SAP22001_MOEK_42 МОЭК ТП HR,,,
8282,Печать карточки Объекта Недвижимости,СудДеп,,,
8281,Доработка информационных панелей,СудДеп,,,
8280,Отчет СУРВ,SAP21011_RA_07 РусАгро переход с SAP HCM на 1С,,,
8279,ZISU_MAINX_UUU_2020 - Неверный вывод периодов в отчет (Задача 2000091378),SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8278,СМ 7000352576 (2000091427) ZISU_SELL_BOOK_ADD13 - Доплист книги продаж 2013 за 01.2022 по ККС 3053213 Счета Дт/Кт,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8277,Ведомственные отчеты - ошибка отображение наименования Судебного органа,СудДеп,,,
8276,"Доработки документов и функционала ЗиК, часть 2", SAP22004_KONS_03 Заработная плата и кадры,,,
8275, 2000090858 анализ отчета ZHR_SIC_LIST,SAP22001_MOEK_42 МОЭК ТП HR,,,
8274,WEB. Окно Условия труда сотрудников не раздвигается, SAP22004_KONS_03 Заработная плата и кадры,,,
8273,"Задача: 2000091376, выгрузка реестра БЛ",SAP22001_MOEK_42 МОЭК ТП HR,,,
8272,SH-134 Добавление нового эл. данных. Доработка метода (бывш. CTASK0013910),РусАгро - ЗНИ,,,
8271,"Кнопка Дублировать, в сервисной  панели, может сломать приказ", SAP22004_KONS_03 Заработная плата и кадры,,,
8270,Из карточки Контрагент не создаются правоустанавливающие документы,СудДеп,,,
8269,"Задача: 2000091404, Сведения о застрахованном лице",SAP22001_MOEK_42 МОЭК ТП HR,,,
8268,Надо обратить внимание на индивидуальных предпринимателей, SAP22004_KONS_03 Заработная плата и кадры,,,
8267,2000091263 анализ отчета ZHR_POSTING,SAP22001_MOEK_42 МОЭК ТП HR,,,
8266,РЕЕСТР ТП  СМ  7000352004 (2000091259) Настройка оповещения по операциям переноса оплат/выяснения оплат на физ лицо,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8265,Задача: 2000090816,SAP22001_MOEK_42 МОЭК ТП HR,,,
8264,2000090969 Прошу проанализировать программу ZHR_POSTING,SAP22001_MOEK_42 МОЭК ТП HR,,,
8263,"Задача: 2000091019, Отсутствует в своде /3TI 10,57 14001933",SAP22001_MOEK_42 МОЭК ТП HR,,,
8262,Устранение замечений 10.5,СудДеп,,,
8261,Разработка сервиса удаления объектов недвижимости,СудДеп,,,
8260, STRY0013320 Интеграция ЭТП с SAP,РусАгро - ЗНИ,,,
8259,CTASK0013997 Реализация изменения по автоматической записи в операцию ПУЛ при его создании объема полевых работ,РусАгро - Тех.поддержка,,,
8258,"2000090043, ДСы о Третейской оговорке",SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,"2000090043, ДСы о Третейской оговорке, ч.2",8341,
8257,Задача: 2000091348,SAP22001_MOEK_42 МОЭК ТП HR,,,
8256,"Учет рабочего времени (График, Табель)", SAP22004_KONS_03 Заработная плата и кадры,"График учета рабочего времени открывает больничный лист, Табель учета РВ, заполнение на основании Графика учета РВ","8386, 8506",
8255,Распределение ТР по объектам , SAP22004_KONS_03 Заработная плата и кадры,Как заполнить Name договора ?,8400,
8254,Предзаполнение справочников ЗиК, SAP22004_KONS_03 Заработная плата и кадры,Редактирование Шаблона экспорта,8389,
8253,В кадровых приказах поломалась цветовая гамма(стиль), SAP22004_KONS_03 Заработная плата и кадры,,,
8252,СМ 7000352207 (2000091315) Замечания по  Книге продаж 12.2021,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
